	x		y
	-1		19
	-0.9		18.41
	-0.8		17.84
	-0.7		17.29
	-0.6		16.76
	-0.5		16.25
	-0.4		15.76
	-0.3		15.29
	-0.2		14.84
	-0.1		14.41
	7.4506e-08		14
	0.1		13.61
	0.2		13.24
	0.3		12.89
	0.4		12.56
	0.5		12.25
	0.6		11.96
	0.7		11.69
	0.8		11.44
	0.9		11.21
	1		11
	1.1		10.81
	1.2		10.64
	1.3		10.49
	1.4		10.36
	1.5		10.25
	1.6		10.16
	1.7		10.09
	1.8		10.04
	1.9		10.01
	2		10
	2.1		10.01
	2.2		10.04
	2.3		10.09
	2.4		10.16
	2.5		10.25
	2.6		10.36
	2.7		10.49
	2.8		10.64
	2.9		10.81
	3		11
