	x		y
	1		8.5994
	1.1		10.029
	1.2		10.97
	1.3		11.317
	1.4		11.33
	1.5		11.47
	1.6		12.127
	1.7		13.374
	1.8		14.932
	1.9		16.331
	2		17.199
	2.1		17.488
	2.2		17.502
	2.3		17.71
	2.4		18.466
	2.5		19.792
	2.6		21.364
	2.7		22.708
	2.8		23.492
	2.9		23.72
	3		23.736
	3.1		24.013
	3.2		24.864
	3.3		26.255
	3.4		27.826
	3.5		29.105
	3.6		29.8
	3.7		29.972
	3.8		30
	3.9		30.349
	4		31.292
	4.1		32.74
	4.2		34.297
	4.3		35.504
	4.4		36.111
	4.5		36.234
	4.6		36.282
	4.7		36.71
	4.8		37.742
	4.9		39.236
	5		40.77
	5.1		41.897
	5.2		42.418
	5.3		42.501
	5.4		42.58
	5.5		43.091
	5.6		44.208
	5.7		45.739
	5.8		47.238
	5.9		48.281
	6		48.72
	6.1		48.772
	6.2		48.891
	6.3		49.489
	6.4		50.687
	6.5		52.244
	6.6		53.699
	6.7		54.655
	6.8		55.016
	6.9		55.048
	7		55.216
	7.1		55.903
	7.2		57.177
	7.3		58.749
	7.4		60.152
	7.5		61.018
	7.6		61.307
	7.7		61.328
	7.8		61.554
	7.9		62.332
	8		63.675
	8.1		65.253
	8.2		66.593
	8.3		67.369
	8.4		67.593
	8.5		67.615
	8.6		67.906
	8.7		68.775
	8.8		70.179
	8.9		71.752
	9		73.024
	9.1		73.709
	9.2		73.875
	9.3		73.908
	9.4		74.272
	9.5		75.231
	9.6		76.688
	9.7		78.245
	9.8		79.442
	9.9		80.038
